City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Mecca,SA,2022-02-04 02:00:51,21.4267,39.8261,71.01,86,45,3.58,scattered clouds
228,Mar Del Plata,AR,2022-02-04 01:52:20,-38.0023,-57.5575,71.1,94,100,0.0,fog
229,Blythe,US,2022-02-04 02:00:52,33.6103,-114.5964,52.03,16,0,11.36,clear sky
230,Kruisfontein,ZA,2022-02-04 01:53:00,-34.0033,24.7314,64.89,80,62,9.19,light rain
231,Dunedin,NZ,2022-02-04 01:49:38,-45.8742,170.5036,50.7,95,100,4.7,light rain
232,Provideniya,RU,2022-02-04 01:52:46,64.3833,-173.3,4.26,59,9,23.94,clear sky
233,Itoman,JP,2022-02-04 02:00:53,26.1247,127.6694,61.18,94,75,19.57,mist
234,Nouadhibou,MR,2022-02-04 02:00:53,20.931,-17.0347,66.29,72,5,9.4,clear sky
235,Pisco,PE,2022-02-04 01:49:22,-13.7,-76.2167,69.85,78,0,17.27,clear sky
236,Atar,MR,2022-02-04 02:00:54,20.5169,-13.0499,66.88,15,0,7.61,clear sky
237,Auki,SB,2022-02-04 02:00:54,-8.7676,160.7034,76.3,95,100,9.08,overcast clouds
238,Dongsheng,CN,2022-02-04 02:00:55,39.8161,109.9776,9.81,54,0,11.23,clear sky
239,Urumqi,CN,2022-02-04 02:00:55,43.801,87.6005,-4.85,84,100,2.24,fog
240,Boysun,UZ,2022-02-04 02:00:56,38.2061,67.1986,31.26,54,0,6.87,clear sky
241,Cap Malheureux,MU,2022-02-04 02:00:56,-19.9842,57.6142,80.47,84,100,10.0,overcast clouds
242,Mananjary,MG,2022-02-04 02:00:57,-21.2167,48.3333,75.49,91,100,11.9,moderate rain
243,Tezu,IN,2022-02-04 02:00:57,27.9167,96.1667,62.33,44,68,0.98,broken clouds
244,Rioja,AR,2022-02-04 02:00:58,-29.4111,-66.8507,80.02,59,40,1.23,scattered clouds
245,Campobasso,IT,2022-02-04 02:00:58,41.6333,14.5833,43.75,82,99,7.25,overcast clouds
246,Tuatapere,NZ,2022-02-04 02:00:59,-46.1333,167.6833,49.59,91,100,4.03,overcast clouds
247,Ribeira Grande,PT,2022-02-04 02:00:59,38.5167,-28.7,58.68,74,100,17.74,overcast clouds
248,Alta Gracia,AR,2022-02-04 02:00:59,-31.6529,-64.4283,74.88,84,4,5.37,clear sky
249,Adre,TD,2022-02-04 02:01:00,13.4667,22.2,64.0,12,4,17.94,clear sky
250,Puerto Ayora,EC,2022-02-04 01:52:10,-0.7393,-90.3518,75.54,92,8,5.01,clear sky
251,Constitucion,CL,2022-02-04 02:00:56,-35.3333,-72.4167,58.17,94,37,4.68,scattered clouds
252,Nantucket,US,2022-02-04 02:01:01,41.2835,-70.0995,50.04,95,100,20.04,overcast clouds
253,Hami,CN,2022-02-04 02:01:01,42.8,93.45,22.12,37,13,3.04,few clouds
254,Svetlogorsk,BY,2022-02-04 02:01:01,52.6333,29.7333,6.13,99,76,4.61,broken clouds
255,Colac,AU,2022-02-04 02:01:02,-38.3333,143.5833,72.18,41,1,9.22,clear sky
256,Mildura,AU,2022-02-04 02:00:13,-34.2,142.15,77.07,40,0,14.99,clear sky
257,Angoram,PG,2022-02-04 02:01:03,-4.0625,144.0661,88.21,56,48,5.03,scattered clouds
258,Pacifica,US,2022-02-04 02:01:03,37.6138,-122.4869,59.25,82,75,1.99,mist
259,Abhar,IR,2022-02-04 02:01:04,36.1468,49.218,34.3,62,5,4.99,clear sky
