City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Benguela,AO,74.01,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
540,Trinidad,BO,74.79,broken clouds,-14.8333,-64.9,Hotel Piesta
541,Palmas Bellas,PA,80.51,few clouds,9.2319,-80.0867,Estación de Chagres
543,Biak,ID,83.44,overcast clouds,-0.9131,122.8766,Penginapan Kim
549,Poso,ID,84.22,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
550,Bintulu,MY,79.93,overcast clouds,3.1667,113.0333,900 Boutique INN
552,Sulangan,PH,79.36,overcast clouds,11.1373,123.7228,Maia's Beach Resort
554,Havelock,US,66.18,overcast clouds,34.8791,-76.9013,Sherwood Motel
557,Banda Aceh,ID,81.25,broken clouds,5.5577,95.3222,Sulthan Hotel International
559,Matehuala,MX,69.12,overcast clouds,23.65,-100.65,Las Palmas Midway Inn
560,Lorengau,PG,84.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
562,Qui Nhon,VN,72.34,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
563,Santiago De Cao,PE,70.03,scattered clouds,-7.9589,-79.2392,Villa Konecta - Casa de vacaciones
565,Bamako,ML,70.21,clear sky,12.65,-8.0,Hôtel l’Amitié Bamako
574,Jacksonville Beach,US,70.02,broken clouds,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
577,Cabedelo,BR,80.58,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
579,Tigtabon,PH,83.16,scattered clouds,6.8956,122.1669,Villa Teresa Homes
580,Sola,VU,83.07,light rain,-13.8833,167.55,Leumerus Bungalows
585,Hilton Head Island,US,66.06,few clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
586,Barroquinha,BR,78.58,overcast clouds,-3.0189,-41.1361,Pousada barroquinha
588,Porto Novo,BJ,77.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
590,Punta Alta,AR,72.07,clear sky,-38.8759,-62.0736,Center Hotel Punta Alta
592,Apac,UG,69.87,overcast clouds,1.9756,32.5386,Double Duez Apac
596,Iquique,CL,68.14,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
598,Kavaratti,IN,79.23,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
605,Ouesso,CG,70.11,overcast clouds,1.6136,16.0517,ABENIE Hotel
606,Foumban,CM,66.74,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
608,Paoua,CF,66.72,scattered clouds,7.2427,16.4406,Quartier Paoua Elien
612,Mount Gambier,AU,71.17,clear sky,-37.8333,140.7667,The Commodore
619,Lucea,JM,76.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
623,Srandakan,ID,75.72,overcast clouds,-7.9386,110.2506,Puri Brata
626,Yenangyaung,MM,68.0,clear sky,20.4667,94.8833,Hotel Country
631,Xique-Xique,BR,80.85,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
635,Tutoia,BR,78.78,overcast clouds,-2.7619,-42.2744,Pousada Guará's
638,Iralaya,HN,76.5,clear sky,15.0,-83.2333,Iglesia morava renovada
639,Bambanglipuro,ID,75.6,overcast clouds,-7.95,110.2833,Puri Brata
640,Rodrigues Alves,BR,72.55,broken clouds,-7.738,-72.6509,Pousada Aconchego
643,Rocha,UY,70.07,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
645,Bayshore Gardens,US,72.1,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
647,Victoria Point,AU,84.18,scattered clouds,-27.5833,153.3,Bay Retreat Motel
648,Hobyo,SO,75.0,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
649,Tairua,NZ,76.08,clear sky,-37.0167,175.85,Pacific Harbour Villas
651,Malakal,SS,75.42,scattered clouds,9.5334,31.6605,Nile Palace Hotel
653,Manzanillo,CU,74.52,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
665,Poum,NC,82.51,light rain,-20.2333,164.0167,Gîte kajeon
668,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
669,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
670,Hirara,JP,66.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
674,Eydhafushi,MV,80.65,broken clouds,5.1033,73.0708,Soneva Fushi
675,Parakou,BJ,71.22,clear sky,9.3372,2.6303,Benin Metropole Hotel
677,Port Macquarie,AU,70.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
679,Broken Hill,AU,70.02,clear sky,-31.95,141.4333,Royal Exchange Hotel
694,Rabaul,PG,83.59,broken clouds,-4.1967,152.1721,Rabaul Hotel
705,Burnie,AU,65.95,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
708,Montepuez,MZ,69.12,overcast clouds,-13.1256,38.9997,PembaAparthotel
709,La Plata,AR,73.99,broken clouds,-34.9215,-57.9545,Hotel Corregidor
713,Irece,BR,71.08,scattered clouds,-11.3042,-41.8558,Caraíbas Palace Hotel
716,Narrabri,AU,78.53,few clouds,-30.3167,149.7833,Crossroads Hotel
717,Imbituba,BR,78.82,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
